"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1775","5.78640777","0.02826956","0.17281879","0.0","2","11","false","RPA3","5.0","2","0","0","0.63181479","false","0","RPA3","1200","0.57142857"
"1776","4.85436893","0.13940994","0.206","0.0","6","10","false","VDAC3","1.83333333","6","0","0","0.70351008","false","0","VDAC3","4374","0.20833333"
"1777","6.38834951","0.0","0.15653495","0.0","1","10","false","PSMC2","2.0","1","0","0","0.58551158","false","0","PSMC2","0","0.0"
"1778","5.39805825","0.01941748","0.1852518","0.0","2","9","false","TXNL1","3.5","2","0","0","0.66168783","false","0","TXNL1","808","0.5"
"1779","5.68932039","0.01240561","0.17576792","0.0","2","11","false","COPS5","5.0","2","0","0","0.63928305","false","0","COPS5","226","0.5"
"1780","4.91262136","0.04067511","0.20355731","0.0","4","10","false","UBE2V2","2.5","4","0","0","0.69902913","false","0","UBE2V2","1458","0.3"
"1784","4.7184466","0.0","0.21193416","0.0","1","9","false","YWHAQ","5.0","1","0","0","0.71396565","false","0","YWHAQ","0","0.0"
"1785","3.72815534","0.04048067","0.26822917","0.0","5","8","false","ARL1","6.4","5","0","0","0.7901419","false","0","ARL1","2044","0.25714286"
"1786","4.87378641","0.0","0.20517928","0.0","1","9","false","STK39","3.0","1","0","0","0.70201643","false","0","STK39","0","0.0"
"1787","3.88349515","0.03864458","0.2575","0.0","3","8","false","EPS15","7.33333333","3","0","0","0.77819268","false","0","EPS15","1058","0.33333333"
"1788","5.84466019","0.0","0.17109635","0.0","1","11","false","PRKCE","6.0","1","0","0","0.62733383","false","0","PRKCE","0","0.0"
"1789","2.93203883","0.48152674","0.3410596","0.0","20","7","false","PSMC6","2.95","20","0","0","0.85138163","false","0","PSMC6","17198","0.08125"
"1790","3.37864078","0.18452638","0.29597701","0.0","3","8","false","SNAP25","10.66666667","3","0","0","0.81702763","false","0","SNAP25","6354","0.35802469"
"1791","3.59223301","0.02485697","0.27837838","0.0","3","7","false","KIF3A","9.33333333","3","0","0","0.80059746","false","0","KIF3A","1036","0.37878788"
"1792","3.9223301","0.0","0.2549505","0.0","1","8","false","AGTPBP1","20.0","1","0","0","0.77520538","false","0","AGTPBP1","0","0.0"
"1793","2.98058252","0.30026337","0.33550489","0.03636364","11","7","false","VPS35","5.72727273","11","0","0","0.8476475","false","0","VPS35","10036","0.13513514"
"1794","3.9223301","0.0","0.2549505","0.0","1","8","false","SUMO1","20.0","1","0","0","0.77520538","false","0","SUMO1","0","0.0"
"1795","3.29126214","0.04541978","0.30383481","0.0","4","7","false","ZC3H15","12.0","4","0","0","0.82374907","false","0","ZC3H15","3842","0.34375"
"1796","3.48543689","0.0116892","0.28690808","0.0","2","7","false","PDHB","16.0","2","0","0","0.80881255","false","0","PDHB","906","0.55555556"
"1797","3.76699029","0.0580344","0.26546392","0.0","2","8","false","RANBP6","12.0","2","0","0","0.78715459","false","0","RANBP6","1926","0.5"
"1798","3.9223301","0.0","0.2549505","0.0","1","8","false","OXCT1","20.0","1","0","0","0.77520538","false","0","OXCT1","0","0.0"
"1799","3.9223301","0.0","0.2549505","0.0","1","8","false","CS","20.0","1","0","0","0.77520538","false","0","CS","0","0.0"
"1800","3.13592233","0.1541072","0.31888545","0.0","8","7","false","PCMT1","7.0","8","0","0","0.83569828","false","0","PCMT1","6920","0.17142857"
"1801","3.9223301","0.0","0.2549505","0.0","1","8","false","EPRS","20.0","1","0","0","0.77520538","false","0","EPRS","0","0.0"
"1804","4.42718447","0.09762153","0.22587719","0.0","6","8","false","ANKMY2","2.0","6","0","0","0.73637043","false","0","ANKMY2","4174","0.16666667"
"1805","3.73786408","0.08688553","0.26753247","0.16666667","4","7","false","SKIV2L2","6.25","4","0","0","0.78939507","false","0","SKIV2L2","3704","0.30263158"
"1806","5.41747573","0.0","0.18458781","0.0","1","9","false","COPS2","6.0","1","0","0","0.66019417","false","0","COPS2","0","0.0"
"1807","4.0776699","0.05882958","0.2452381","0.0","3","9","false","PAFAH1B1","6.33333333","3","0","0","0.76325616","false","0","PAFAH1B1","2616","0.33333333"
"1808","5.41747573","0.0","0.18458781","0.0","1","9","false","PTGER3","6.0","1","0","0","0.66019417","false","0","PTGER3","0","0.0"
"1809","3.97087379","0.0","0.25183374","0.0","1","8","false","CLCN6","11.0","1","0","0","0.77147125","false","0","CLCN6","0","0.0"
"1814","4.12621359","0.0","0.24235294","0.0","1","8","false","FKBP3","8.0","1","0","0","0.75952203","false","0","FKBP3","0","0.0"
"1821","3.48543689","0.16634062","0.28690808","0.02777778","9","8","false","BCAS2","3.44444444","9","0","0","0.80881255","false","0","BCAS2","8784","0.17777778"
"1822","3.78640777","0.00777849","0.26410256","0.0","2","7","false","RASA1","10.5","2","0","0","0.78566094","false","0","RASA1","724","0.59375"
"1823","4.32038835","0.05322517","0.23146067","0.0","3","9","false","AKAP12","5.33333333","3","0","0","0.74458551","false","0","AKAP12","3232","0.36111111"
"1824","4.27184466","0.11231677","0.23409091","0.0","3","9","false","CDC123","3.0","3","0","0","0.74831964","false","0","CDC123","1924","0.33333333"
"1825","5.2038835","0.05711022","0.19216418","0.0","2","10","false","MAPRE2","2.5","2","0","0","0.67662435","false","0","MAPRE2","972","0.5"
"1826","3.69902913","0.06073709","0.27034121","0.0","4","8","false","RAN","5.5","4","0","0","0.79238237","false","0","RAN","1816","0.3"
"1827","4.68932039","0.0","0.21325052","0.0","1","9","false","STAU1","4.0","1","0","0","0.71620612","false","0","STAU1","0","0.0"
"1828","5.06796117","0.0","0.19731801","0.0","1","10","false","ANK2","3.0","1","0","0","0.68707991","false","0","ANK2","0","0.0"
"1829","4.10679612","0.01941748","0.24349882","0.0","2","8","false","MORF4L1","4.5","2","0","0","0.76101568","false","0","MORF4L1","490","0.5"
"1830","5.59223301","0.05768132","0.17881944","0.0","4","10","false","FURIN","1.5","4","0","0","0.64675131","false","0","FURIN","3426","0.25"
"1831","6.58252427","0.0","0.1519174","0.0","1","11","false","GNAI2","4.0","1","0","0","0.57057506","false","0","GNAI2","0","0.0"
"1832","5.78640777","0.02826956","0.17281879","0.0","2","11","false","GOT1","5.0","2","0","0","0.63181479","false","0","GOT1","1200","0.57142857"
"1833","5.90291262","0.0","0.16940789","0.0","1","11","false","DNM1L","4.0","1","0","0","0.62285288","false","0","DNM1L","0","0.0"
"1834","3.76699029","0.07026775","0.26546392","0.0","5","8","false","PJA2","4.8","5","0","0","0.78715459","false","0","PJA2","4270","0.29230769"
"1835","4.66019417","0.07568374","0.21458333","0.0","3","9","false","USP14","3.66666667","3","0","0","0.7184466","false","0","USP14","4562","0.38095238"
"1836","3.26213592","0.20258699","0.30654762","0.01515152","12","8","false","ARMC1","3.66666667","12","0","0","0.82598954","false","0","ARMC1","8768","0.12878788"
"1837","4.25242718","0.0","0.23515982","0.0","1","9","false","TMEM30A","12.0","1","0","0","0.74981329","false","0","TMEM30A","0","0.0"
"1838","4.25242718","0.0","0.23515982","0.0","1","9","false","CUL1","12.0","1","0","0","0.74981329","false","0","CUL1","0","0.0"
"1839","4.25242718","0.0","0.23515982","0.0","1","9","false","PSMD6","12.0","1","0","0","0.74981329","false","0","PSMD6","0","0.0"
"1840","4.75728155","0.0","0.21020408","0.0","1","8","false","ADAM15","3.0","1","0","0","0.71097834","false","0","ADAM15","0","0.0"
"1841","3.76699029","0.02719596","0.26546392","0.0","3","7","false","U2AF2","7.33333333","3","0","0","0.78715459","false","0","U2AF2","1342","0.39583333"
"1844","3.87378641","0.02819855","0.25814536","0.0","4","8","false","NDFIP1","5.0","4","0","0","0.77893951","false","0","NDFIP1","1110","0.33333333"
"1845","4.86407767","0.0","0.20558882","0.0","1","9","false","TOR1AIP2","4.0","1","0","0","0.70276326","false","0","TOR1AIP2","0","0.0"
"1852","3.87378641","0.03054047","0.25814536","0.0","2","8","false","WASF1","7.0","2","0","0","0.77893951","false","0","WASF1","1770","0.54545455"
"1859","3.93203883","0.00266466","0.25432099","0.0","2","8","false","TAX1BP1","8.0","2","0","0","0.77445855","false","0","TAX1BP1","176","0.63636364"
"1860","3.97087379","0.0","0.25183374","0.0","1","8","false","ARL6IP5","11.0","1","0","0","0.77147125","false","0","ARL6IP5","0","0.0"
"1861","8.11650485","0.0","0.12320574","0.0","1","13","false","SPI1","2.0","1","0","0","0.45257655","false","0","SPI1","0","0.0"
"1862","7.12621359","0.01941748","0.14032698","0.0","2","12","false","MYH9","1.5","2","0","0","0.5287528","false","0","MYH9","328","0.5"
"1868","3.40776699","0.0970141","0.29344729","0.04761905","7","8","false","SARAF","5.14285714","7","0","0","0.81478715","false","0","SARAF","4634","0.22142857"
"1869","5.0776699","0.0266491","0.19694073","0.0","3","10","false","OAT","2.66666667","3","0","0","0.68633308","false","0","OAT","1682","0.41666667"
"1870","6.06796117","0.0","0.1648","0.0","1","11","false","PPP3CA","3.0","1","0","0","0.61015683","false","0","PPP3CA","0","0.0"
"1871","7.70873786","0.0","0.12972292","0.0","1","13","false","COPS4","4.0","1","0","0","0.48394324","false","0","COPS4","0","0.0"
"1877","4.19417476","0.06303298","0.23842593","0.0","4","9","false","DDX1","2.5","4","0","0","0.75429425","false","0","DDX1","2264","0.3"
"1878","5.18446602","0.0","0.1928839","0.0","1","10","false","TUBA1B","4.0","1","0","0","0.678118","false","0","TUBA1B","0","0.0"
"1879","5.84466019","0.0","0.17109635","0.0","1","11","false","VDAC2","6.0","1","0","0","0.62733383","false","0","VDAC2","0","0.0"
"1880","4.87378641","0.0","0.20517928","0.0","1","9","false","TBK1","3.0","1","0","0","0.70201643","false","0","TBK1","0","0.0"
"1881","4.13592233","0.15765349","0.24178404","0.0","3","9","false","SNAP91","3.33333333","3","0","0","0.75877521","false","0","SNAP91","4858","0.33333333"
"1882","5.12621359","0.0","0.19507576","0.0","1","10","false","GULP1","3.0","1","0","0","0.68259895","false","0","GULP1","0","0.0"
"1883","4.08737864","0.01941748","0.24465558","0.33333333","3","8","false","RNF11","4.66666667","3","0","0","0.76250934","false","0","RNF11","372","0.39393939"
"1884","5.0776699","0.0","0.19694073","0.0","1","9","false","UBE2D2","3.0","1","0","0","0.68633308","false","0","UBE2D2","0","0.0"
"1885","6.15533981","0.03845422","0.16246057","0.0","2","11","false","GGH","2.0","2","0","0","0.6034354","false","0","GGH","652","0.5"
"1886","5.32038835","0.0","0.1879562","0.0","1","10","false","GOLIM4","4.0","1","0","0","0.66766243","false","0","GOLIM4","0","0.0"
"1887","5.32038835","0.0","0.1879562","0.0","1","10","false","VDAC1","4.0","1","0","0","0.66766243","false","0","VDAC1","0","0.0"
"1888","4.89320388","0.0","0.20436508","0.0","1","9","false","ATP6V1E1","2.0","1","0","0","0.70052278","false","0","ATP6V1E1","0","0.0"
"1889","3.90291262","0.01941748","0.25621891","0.0","2","8","false","BCL2","10.5","2","0","0","0.77669903","false","0","BCL2","530","0.5"
"1890","4.85436893","0.01941748","0.206","0.0","2","9","false","RAB14","1.5","2","0","0","0.70351008","false","0","RAB14","530","0.5"
"1891","5.84466019","0.0","0.17109635","0.0","1","10","false","FLNA","2.0","1","0","0","0.62733383","false","0","FLNA","0","0.0"
"1892","3.88349515","0.03845422","0.2575","0.0","2","8","false","TRIM38","11.0","2","0","0","0.77819268","false","0","TRIM38","1056","0.5"
"1893","3.60194175","0.03552295","0.27762803","0.0","3","8","false","TRIM8","9.33333333","3","0","0","0.79985063","false","0","TRIM8","1116","0.37878788"
"1894","3.80582524","0.00982335","0.2627551","0.0","2","8","false","YBX1","12.5","2","0","0","0.78416729","false","0","YBX1","804","0.575"
"1895","3.9223301","0.0","0.2549505","0.0","1","8","false","CASP10","20.0","1","0","0","0.77520538","false","0","CASP10","0","0.0"
"1897","5.41747573","0.0","0.18458781","0.0","1","9","false","COPS7A","6.0","1","0","0","0.66019417","false","0","COPS7A","0","0.0"
"1899","4.47572816","0.0","0.22342733","0.0","1","9","false","IKBKB","9.0","1","0","0","0.7326363","false","0","IKBKB","0","0.0"
"1900","5.09708738","0.0","0.19619048","0.0","1","9","false","EFEMP2","2.0","1","0","0","0.68483943","false","0","EFEMP2","0","0.0"
"1903","6.58252427","0.0","0.1519174","0.0","1","11","false","HABP4","4.0","1","0","0","0.57057506","false","0","HABP4","0","0.0"
"1904","6.58252427","0.0","0.1519174","0.0","1","11","false","HSP90AB1","4.0","1","0","0","0.57057506","false","0","HSP90AB1","0","0.0"
"1910","4.39805825","0.0","0.22737307","0.0","1","9","false","CLTC","7.0","1","0","0","0.7386109","false","0","CLTC","0","0.0"
"1913","4.58252427","0.0","0.21822034","0.0","1","8","false","NOTCH3","3.0","1","0","0","0.72442121","false","0","NOTCH3","0","0.0"
"1915","4.12621359","0.0","0.24235294","0.0","1","8","false","AAAS","8.0","1","0","0","0.75952203","false","0","AAAS","0","0.0"
"1757","4.85436893","0.0","0.206","0.0","1","9","false","PAM","3.0","1","0","0","0.70351008","false","0","PAM","0","0.0"
"1758","3.86407767","0.02468598","0.25879397","0.0","3","8","false","RNF14","8.33333333","3","0","0","0.77968633","false","0","RNF14","920","0.36666667"
"1759","4.72815534","0.01941748","0.21149897","0.0","2","9","false","LRRC40","2.0","2","0","0","0.71321882","false","0","LRRC40","296","0.5"
"1760","3.75728155","0.0420712","0.26614987","0.0","3","8","false","CDC42","5.66666667","3","0","0","0.78790142","false","0","CDC42","642","0.33333333"
"1761","5.7184466","0.0","0.17487267","0.0","1","10","false","ELP3","2.0","1","0","0","0.63704257","false","0","ELP3","0","0.0"
"1762","6.23300971","0.0","0.16043614","0.0","1","11","false","GARS","2.0","1","0","0","0.59746079","false","0","GARS","0","0.0"
"1763","5.24271845","0.01941748","0.19074074","0.0","2","10","false","PSMD1","2.0","2","0","0","0.67363704","false","0","PSMD1","328","0.5"
"1764","5.66019417","0.0","0.17667238","0.0","1","10","false","DDB1","2.0","1","0","0","0.64152353","false","0","DDB1","0","0.0"
"1765","4.66990291","0.01941748","0.21413721","0.0","2","9","false","PFN2","2.5","2","0","0","0.71769978","false","0","PFN2","488","0.5"
"1766","4.33009709","0.05768132","0.2309417","0.0","4","9","false","HSPE1","2.0","4","0","0","0.74383869","false","0","HSPE1","978","0.25"
"1767","3.39805825","0.19952797","0.29428571","0.2","5","8","false","ATP6V1A","7.4","5","0","0","0.81553398","false","0","ATP6V1A","3548","0.24137931"
"1768","5.32038835","0.0","0.1879562","0.0","1","10","false","PSMD12","4.0","1","0","0","0.66766243","false","0","PSMD12","0","0.0"
"1773","7.70873786","0.0","0.12972292","0.0","1","13","false","CHCHD2","4.0","1","0","0","0.48394324","false","0","CHCHD2","0","0.0"
"1774","6.7184466","0.03873977","0.14884393","0.0","4","12","false","HINT1","1.5","4","0","0","0.56011949","false","0","HINT1","1612","0.5"
