"SUID","C9","corMean","FTLD","Int","interaction","name","PET","RAV","sALS","selected","shared interaction","shared name","SrNo","V1","V2","VCP"
"1690","0.547619048","0.684644114","0.614705882","RNF11 (interacts with) SKIV2L2","interacts with","RNF11 (interacts with) SKIV2L2","0.632352941","0.527472527","0.964285714","false","interacts with","RNF11 (interacts with) SKIV2L2",,,,"0.821428571"
"1691","0.598813131","0.757208997","0.826470588","BCAS2 (interacts with) SNAP25","interacts with","BCAS2 (interacts with) SNAP25","0.705882353","0.697802198","0.964285714","false","interacts with","BCAS2 (interacts with) SNAP25",,,,"0.75"
"1692","0.862290909","0.806928001","0.817647059","BCAS2 (interacts with) SKIV2L2","interacts with","BCAS2 (interacts with) SKIV2L2","0.708333333","0.774725275","0.892857143","false","interacts with","BCAS2 (interacts with) SKIV2L2",,,,"0.785714286"
"1693","0.771084337","0.767787201","0.876470588","BCAS2 (interacts with) RASA1","interacts with","BCAS2 (interacts with) RASA1","0.519607843","0.653846154","0.928571429","false","interacts with","BCAS2 (interacts with) RASA1",,,,"0.857142857"
"1694","0.658694444","0.77837664","0.829411765","BCAS2 (interacts with) PCMT1","interacts with","BCAS2 (interacts with) PCMT1","0.81127451","0.620879121","0.892857143","false","interacts with","BCAS2 (interacts with) PCMT1",,,,"0.857142857"
"1695","-0.753012048","-0.753295946","-0.682352941","BCAS2 (interacts with) U2AF2","interacts with","BCAS2 (interacts with) U2AF2","-0.710784314","-0.587912088","-0.964285714","false","interacts with","BCAS2 (interacts with) U2AF2",,,,"-0.821428571"
"1696","0.670670707","0.794697901","0.920588235","BCAS2 (interacts with) ZC3H15","interacts with","BCAS2 (interacts with) ZC3H15","0.718137255","0.78021978","0.821428571","false","interacts with","BCAS2 (interacts with) ZC3H15",,,,"0.857142857"
"1697","0.880952381","0.751566652","0.617647059","COPS5 (interacts with) VDAC3","interacts with","COPS5 (interacts with) VDAC3","0.615196078","0.752747253","1.0","false","interacts with","COPS5 (interacts with) VDAC3",,,,"0.642857143"
"1698","0.609937546","0.74362997","0.738235294","COPS5 (interacts with) UBE2V2","interacts with","COPS5 (interacts with) UBE2V2","0.514705882","0.67032967","0.964285714","false","interacts with","COPS5 (interacts with) UBE2V2",,,,"0.964285714"
"1699","0.802409595","0.72479469","0.679411765","ANKMY2 (interacts with) COPS2","interacts with","ANKMY2 (interacts with) COPS2","0.509803922","0.571428571","0.857142857","false","interacts with","ANKMY2 (interacts with) COPS2",,,,"0.928571429"
"1700","0.850314646","0.752278075","0.882352941","ANKMY2 (interacts with) TXNL1","interacts with","ANKMY2 (interacts with) TXNL1","0.629901961","0.686813187","0.892857143","false","interacts with","ANKMY2 (interacts with) TXNL1",,,,"0.571428571"
"1701","0.682646969","0.718252696","0.741176471","ANKMY2 (interacts with) SKIV2L2","interacts with","ANKMY2 (interacts with) SKIV2L2","0.87745098","0.543956044","0.857142857","false","interacts with","ANKMY2 (interacts with) SKIV2L2",,,,"0.607142857"
"1702","0.586836868","0.742752457","0.8","ANKMY2 (interacts with) PAFAH1B1","interacts with","ANKMY2 (interacts with) PAFAH1B1","0.855392157","0.785714286","0.857142857","false","interacts with","ANKMY2 (interacts with) PAFAH1B1",,,,"0.571428571"
"1703","0.634335047","0.779327334","0.935294118","DNM1L (interacts with) UBE2V2","interacts with","DNM1L (interacts with) UBE2V2","0.779411765","0.862637363","0.821428571","false","interacts with","DNM1L (interacts with) UBE2V2",,,,"0.642857143"
"1705",,,,,"interacts with","MATR3 (interacts with) DISC1",,,,"false","interacts with","MATR3 (interacts with) DISC1","160102","P43243","Q9NRI5",
"1706",,,,,"interacts with","UBQLN2 (interacts with) RNF11",,,,"false","interacts with","UBQLN2 (interacts with) RNF11","140285","Q9UHD9","Q9Y3C5",
"1707",,,,,"interacts with","OPTN (interacts with) TBK1",,,,"false","interacts with","OPTN (interacts with) TBK1","166228","Q96CV9","Q9UHD2",
"1708",,,,,"interacts with","OPTN (interacts with) RNF11",,,,"false","interacts with","OPTN (interacts with) RNF11","136672","Q96CV9","Q9Y3C5",
"1710",,,,,"interacts with","SNAP25 (interacts with) SYT9",,,,"false","interacts with","SNAP25 (interacts with) SYT9","128516","P60880","Q86SS6",
"1711",,,,,"interacts with","EPS15 (interacts with) RNF11",,,,"false","interacts with","EPS15 (interacts with) RNF11","162025","P42566","Q9Y3C5",
"1712",,,,,"interacts with","SNAP91 (interacts with) EPS15",,,,"false","interacts with","SNAP91 (interacts with) EPS15","119995","O60641","P42566",
"1713",,,,,"interacts with","TAX1BP1 (interacts with) RNF11",,,,"false","interacts with","TAX1BP1 (interacts with) RNF11","136894","Q86VP1","Q9Y3C5",
"1714",,,,,"interacts with","AR (interacts with) RNF14",,,,"false","interacts with","AR (interacts with) RNF14","145809","P10275","Q9UBS8",
"1715",,,,,"interacts with","AR (interacts with) PARK7",,,,"false","interacts with","AR (interacts with) PARK7","145798","P10275","Q99497",
"1716",,,,,"interacts with","AR (interacts with) RAN",,,,"false","interacts with","AR (interacts with) RAN","106734","P10275","P62826",
"1717",,,,,"interacts with","UBE2D2 (interacts with) RNF14",,,,"false","interacts with","UBE2D2 (interacts with) RNF14","146722","P62837","Q9UBS8",
"1718",,,,,"interacts with","UBE2D2 (interacts with) RNF11",,,,"false","interacts with","UBE2D2 (interacts with) RNF11","140345","P62837","Q9Y3C5",
"1719",,,,,"interacts with","PJA2 (interacts with) UBE2D2",,,,"false","interacts with","PJA2 (interacts with) UBE2D2","135042","O43164","P62837",
"1720",,,,,"interacts with","APEX1 (interacts with) DCTN1",,,,"false","interacts with","APEX1 (interacts with) DCTN1","116486","P27695","Q14203",
"1721",,,,,"interacts with","APEX1 (interacts with) YBX1",,,,"false","interacts with","APEX1 (interacts with) YBX1","82800","P27695","P67809",
"1722",,,,,"interacts with","ATP6V1E1 (interacts with) YBX1",,,,"false","interacts with","ATP6V1E1 (interacts with) YBX1","82793","P36543","P67809",
"1723",,,,,"interacts with","VDR (interacts with) RNF14",,,,"false","interacts with","VDR (interacts with) RNF14","89144","P11473","Q9UBS8",
"1724",,,,,"interacts with","VDR (interacts with) COPS2",,,,"false","interacts with","VDR (interacts with) COPS2","80695","P11473","P61201",
"1725",,,,,"interacts with","CDC123 (interacts with) ZNF512B",,,,"false","interacts with","CDC123 (interacts with) ZNF512B","80201","O75794","Q96KM6",
"1726",,,,,"interacts with","COPS2 (interacts with) DDB1",,,,"false","interacts with","COPS2 (interacts with) DDB1","72116","P61201","Q16531",
"1727",,,,,"interacts with","KIFAP3 (interacts with) KIF3A",,,,"false","interacts with","KIFAP3 (interacts with) KIF3A","171521","Q92845","Q9Y496",
"1728",,,,,"interacts with","RNASE2 (interacts with) YWHAQ",,,,"false","interacts with","RNASE2 (interacts with) YWHAQ","65796","P10153","P27348",
"1729",,,,,"interacts with","PFN1 (interacts with) WASF1",,,,"false","interacts with","PFN1 (interacts with) WASF1","155560","P07737","Q92558",
"1730",,,,,"interacts with","PFN1 (interacts with) YWHAQ",,,,"false","interacts with","PFN1 (interacts with) YWHAQ","65778","P07737","P27348",
"1731",,,,,"interacts with","YWHAQ (interacts with) DISC1",,,,"false","interacts with","YWHAQ (interacts with) DISC1","169054","P27348","Q9NRI5",
"1732",,,,,"interacts with","YWHAQ (interacts with) DYNC1H1",,,,"false","interacts with","YWHAQ (interacts with) DYNC1H1","65789","P27348","Q14204",
"1733",,,,,"interacts with","YWHAQ (interacts with) VCP",,,,"false","interacts with","YWHAQ (interacts with) VCP","65717","P27348","P55072",
"1734",,,,,"interacts with","YWHAQ (interacts with) RNF11",,,,"false","interacts with","YWHAQ (interacts with) RNF11","58164","P27348","Q9Y3C5",
"1735",,,,,"interacts with","TBK1 (interacts with) RNF11",,,,"false","interacts with","TBK1 (interacts with) RNF11","54679","Q9UHD2","Q9Y3C5",
"1736",,,,,"interacts with","RASA1 (interacts with) HTT",,,,"false","interacts with","RASA1 (interacts with) HTT","52504","P20936","P42858",
"1737",,,,,"interacts with","SQSTM1 (interacts with) OPTN",,,,"false","interacts with","SQSTM1 (interacts with) OPTN","136685","Q13501","Q96CV9",
"1738",,,,,"interacts with","SQSTM1 (interacts with) GRB14",,,,"false","interacts with","SQSTM1 (interacts with) GRB14","126435","Q13501","Q14449",
"1739",,,,,"interacts with","SQSTM1 (interacts with) ARHGEF28",,,,"false","interacts with","SQSTM1 (interacts with) ARHGEF28","60576","Q13501","Q8N1W1",
"1740",,,,,"interacts with","PFN2 (interacts with) WASF1",,,,"false","interacts with","PFN2 (interacts with) WASF1","146171","P35080","Q92558",
"1741",,,,,"interacts with","PFN2 (interacts with) HTT",,,,"false","interacts with","PFN2 (interacts with) HTT","143926","P35080","P42858",
"1742",,,,,"interacts with","PAFAH1B1 (interacts with) DISC1",,,,"false","interacts with","PAFAH1B1 (interacts with) DISC1","160310","P43034","Q9NRI5",
"1743",,,,,"interacts with","PAFAH1B1 (interacts with) DCTN1",,,,"false","interacts with","PAFAH1B1 (interacts with) DCTN1","116489","P43034","Q14203",
"1744",,,,,"interacts with","PAFAH1B1 (interacts with) DYNC1H1",,,,"false","interacts with","PAFAH1B1 (interacts with) DYNC1H1","66649","P43034","Q14204",
"1745",,,,,"interacts with","ZNF512B (interacts with) VPS35",,,,"false","interacts with","ZNF512B (interacts with) VPS35","154475","Q96KM6","Q96QK1",
"1746",,,,,"interacts with","DCTN1 (interacts with) KIF3A",,,,"false","interacts with","DCTN1 (interacts with) KIF3A","151690","Q14203","Q9Y496",
"1747",,,,,"interacts with","DCTN1 (interacts with) ZNF512B",,,,"false","interacts with","DCTN1 (interacts with) ZNF512B","151659","Q14203","Q96KM6",
"1748",,,,,"interacts with","DCTN1 (interacts with) DISC1",,,,"false","interacts with","DCTN1 (interacts with) DISC1","151601","Q14203","Q9NRI5",
"1749",,,,,"interacts with","DCTN1 (interacts with) DYNC1H1",,,,"false","interacts with","DCTN1 (interacts with) DYNC1H1","70722","Q14203","Q14204",
"1750",,,,,"interacts with","TUBA4A (interacts with) PSMD1",,,,"false","interacts with","TUBA4A (interacts with) PSMD1","60266","P68366","Q99460",
"1751",,,,,"interacts with","YBX1 (interacts with) DYNC1H1",,,,"false","interacts with","YBX1 (interacts with) DYNC1H1","82822","P67809","Q14204",
"1752",,,,,"interacts with","YBX1 (interacts with) EWSR1",,,,"false","interacts with","YBX1 (interacts with) EWSR1","82781","P67809","Q01844",
"1753",,,,,"interacts with","YBX1 (interacts with) TUBA4A",,,,"false","interacts with","YBX1 (interacts with) TUBA4A","37182","P67809","P68366",
"1754",,,,,"interacts with","PSMD1 (interacts with) RNF11",,,,"false","interacts with","PSMD1 (interacts with) RNF11","27016","Q99460","Q9Y3C5",
"1755",,,,,"interacts with","PSMC6 (interacts with) PSMD6",,,,"false","interacts with","PSMC6 (interacts with) PSMD6","148194","P62333","Q15008",
"1756",,,,,"interacts with","PSMC6 (interacts with) PSMD1",,,,"false","interacts with","PSMC6 (interacts with) PSMD1","24991","P62333","Q99460",
"1757",,,,,"interacts with","PSMC2 (interacts with) PSMD6",,,,"false","interacts with","PSMC2 (interacts with) PSMD6","153984","P35998","Q15008",
"1758",,,,,"interacts with","PSMC2 (interacts with) SQSTM1",,,,"false","interacts with","PSMC2 (interacts with) SQSTM1","56444","P35998","Q13501",
"1759",,,,,"interacts with","PSMC2 (interacts with) PSMD1",,,,"false","interacts with","PSMC2 (interacts with) PSMD1","39956","P35998","Q99460",
"1760",,,,,"interacts with","PSMC2 (interacts with) USP14",,,,"false","interacts with","PSMC2 (interacts with) USP14","39943","P35998","P54578",
"1761",,,,,"interacts with","PSMC2 (interacts with) YBX1",,,,"false","interacts with","PSMC2 (interacts with) YBX1","36847","P35998","P67809",
"1762",,,,,"interacts with","PSMC2 (interacts with) PSMC6",,,,"false","interacts with","PSMC2 (interacts with) PSMC6","24985","P35998","P62333",
"1763",,,,,"interacts with","GFAP (interacts with) PSEN1",,,,"false","interacts with","GFAP (interacts with) PSEN1","114274","P14136","P49768",
"1764",,,,,"interacts with","ATP6V1A (interacts with) SMN1",,,,"false","interacts with","ATP6V1A (interacts with) SMN1","146588","P38606","Q16637",
"1765",,,,,"interacts with","TXNL1 (interacts with) PSMD6",,,,"false","interacts with","TXNL1 (interacts with) PSMD6","153991","O43396","Q15008",
"1766",,,,,"interacts with","TXNL1 (interacts with) PSMD1",,,,"false","interacts with","TXNL1 (interacts with) PSMD1","80832","O43396","Q99460",
"1767",,,,,"interacts with","TXNL1 (interacts with) SQSTM1",,,,"false","interacts with","TXNL1 (interacts with) SQSTM1","66820","O43396","Q13501",
"1768",,,,,"interacts with","TXNL1 (interacts with) PSMC2",,,,"false","interacts with","TXNL1 (interacts with) PSMC2","56986","O43396","P35998",
"1769",,,,,"interacts with","TXNL1 (interacts with) USP14",,,,"false","interacts with","TXNL1 (interacts with) USP14","35327","O43396","P54578",
"1770",,,,,"interacts with","TXNL1 (interacts with) PSMC6",,,,"false","interacts with","TXNL1 (interacts with) PSMC6","24994","O43396","P62333",
"1771",,,,,"interacts with","TXNL1 (interacts with) ATP6V1A",,,,"false","interacts with","TXNL1 (interacts with) ATP6V1A","22070","O43396","P38606",
"1772",,,,,"interacts with","DYNC1H1 (interacts with) DISC1",,,,"false","interacts with","DYNC1H1 (interacts with) DISC1","137163","Q14204","Q9NRI5",
"1773",,,,,"interacts with","U2AF2 (interacts with) DYNC1H1",,,,"false","interacts with","U2AF2 (interacts with) DYNC1H1","21722","P26368","Q14204",
"1774",,,,,"interacts with","APOE (interacts with) CNTF",,,,"false","interacts with","APOE (interacts with) CNTF","121745","P02649","P26441",
"1775",,,,,"interacts with","APOE (interacts with) PCMT1",,,,"false","interacts with","APOE (interacts with) PCMT1","21270","P02649","P22061",
"1776",,,,,"interacts with","APOE (interacts with) PSEN1",,,,"false","interacts with","APOE (interacts with) PSEN1","21268","P02649","P49768",
"1777",,,,,"interacts with","VAPB (interacts with) VCP",,,,"false","interacts with","VAPB (interacts with) VCP","20277","O95292","P55072",
"1778",,,,,"interacts with","ZC3H15 (interacts with) WASF1",,,,"false","interacts with","ZC3H15 (interacts with) WASF1","92679","Q8WU90","Q92558",
"1779",,,,,"interacts with","USP14 (interacts with) PPP3CA",,,,"false","interacts with","USP14 (interacts with) PPP3CA","138932","P54578","Q08209",
"1780",,,,,"interacts with","USP14 (interacts with) PSMC6",,,,"false","interacts with","USP14 (interacts with) PSMC6","104175","P54578","P62333",
"1781",,,,,"interacts with","USP14 (interacts with) PSMD1",,,,"false","interacts with","USP14 (interacts with) PSMD1","80837","P54578","Q99460",
"1782",,,,,"interacts with","USP14 (interacts with) RNF11",,,,"false","interacts with","USP14 (interacts with) RNF11","26753","P54578","Q9Y3C5",
"1783",,,,,"interacts with","USP14 (interacts with) PSMD6",,,,"false","interacts with","USP14 (interacts with) PSMD6","16103","P54578","Q15008",
"1784",,,,,"interacts with","PSMD6 (interacts with) PSMD1",,,,"false","interacts with","PSMD6 (interacts with) PSMD1","153981","Q15008","Q99460",
"1785",,,,,"interacts with","PSMD6 (interacts with) RNF11",,,,"false","interacts with","PSMD6 (interacts with) RNF11","14464","Q15008","Q9Y3C5",
"1786",,,,,"interacts with","HTT (interacts with) OPTN",,,,"false","interacts with","HTT (interacts with) OPTN","172189","P42858","Q96CV9",
"1787",,,,,"interacts with","HTT (interacts with) DYNC1H1",,,,"false","interacts with","HTT (interacts with) DYNC1H1","165168","P42858","Q14204",
"1788",,,,,"interacts with","HTT (interacts with) SQSTM1",,,,"false","interacts with","HTT (interacts with) SQSTM1","52471","P42858","Q13501",
"1789",,,,,"interacts with","HTT (interacts with) USP14",,,,"false","interacts with","HTT (interacts with) USP14","52468","P42858","P54578",
"1790",,,,,"interacts with","HTT (interacts with) VCP",,,,"false","interacts with","HTT (interacts with) VCP","12865","P42858","P55072",
"1791",,,,,"interacts with","VCP (interacts with) OPTN",,,,"false","interacts with","VCP (interacts with) OPTN","136676","P55072","Q96CV9",
"1792",,,,,"interacts with","VCP (interacts with) ALS2",,,,"false","interacts with","VCP (interacts with) ALS2","20156","P55072","Q96Q42",
"1793",,,,,"interacts with","VCP (interacts with) RNF19A",,,,"false","interacts with","VCP (interacts with) RNF19A","12851","P55072","Q9NV58",
"1794",,,,,"interacts with","VCP (interacts with) PPP3CA",,,,"false","interacts with","VCP (interacts with) PPP3CA","12772","P55072","Q08209",
"1795",,,,,"interacts with","VCP (interacts with) SPAST",,,,"false","interacts with","VCP (interacts with) SPAST","12733","P55072","Q9UBP0",
"1796",,,,,"interacts with","VCP (interacts with) DIAPH3",,,,"false","interacts with","VCP (interacts with) DIAPH3","12719","P55072","Q9NSV4",
"1797",,,,,"interacts with","EWSR1 (interacts with) SMN1",,,,"false","interacts with","EWSR1 (interacts with) SMN1","34912","Q01844","Q16637",
"1798",,,,,"interacts with","HNRNPA1 (interacts with) YWHAQ",,,,"false","interacts with","HNRNPA1 (interacts with) YWHAQ","65800","P09651","P27348",
"1799",,,,,"interacts with","HNRNPA1 (interacts with) RNF14",,,,"false","interacts with","HNRNPA1 (interacts with) RNF14","36457","P09651","Q9UBS8",
"1800",,,,,"interacts with","HNRNPA1 (interacts with) SMN1",,,,"false","interacts with","HNRNPA1 (interacts with) SMN1","34919","P09651","Q16637",
"1801",,,,,"interacts with","HNRNPA1 (interacts with) VCP",,,,"false","interacts with","HNRNPA1 (interacts with) VCP","12708","P09651","P55072",
"1802",,,,,"interacts with","HNRNPA1 (interacts with) EWSR1",,,,"false","interacts with","HNRNPA1 (interacts with) EWSR1","10246","P09651","Q01844",
"1803",,,,,"interacts with","STAU1 (interacts with) RASA1",,,,"false","interacts with","STAU1 (interacts with) RASA1","124096","O95793","P20936",
"1804",,,,,"interacts with","STAU1 (interacts with) PSMC6",,,,"false","interacts with","STAU1 (interacts with) PSMC6","104017","O95793","P62333",
"1805",,,,,"interacts with","STAU1 (interacts with) GARS",,,,"false","interacts with","STAU1 (interacts with) GARS","73706","O95793","P41250",
"1806",,,,,"interacts with","STAU1 (interacts with) TUBA4A",,,,"false","interacts with","STAU1 (interacts with) TUBA4A","70955","O95793","P68366",
"1807",,,,,"interacts with","STAU1 (interacts with) YWHAQ",,,,"false","interacts with","STAU1 (interacts with) YWHAQ","65568","O95793","P27348",
"1808",,,,,"interacts with","STAU1 (interacts with) ARL1",,,,"false","interacts with","STAU1 (interacts with) ARL1","52804","O95793","P40616",
"1809",,,,,"interacts with","STAU1 (interacts with) PDHB",,,,"false","interacts with","STAU1 (interacts with) PDHB","46357","O95793","P11177",
"1810",,,,,"interacts with","STAU1 (interacts with) YBX1",,,,"false","interacts with","STAU1 (interacts with) YBX1","37196","O95793","P67809",
"1811",,,,,"interacts with","STAU1 (interacts with) HNRNPA1",,,,"false","interacts with","STAU1 (interacts with) HNRNPA1","36475","O95793","P09651",
"1812",,,,,"interacts with","STAU1 (interacts with) OAT",,,,"false","interacts with","STAU1 (interacts with) OAT","35824","O95793","P04181",
"1813",,,,,"interacts with","STAU1 (interacts with) ZC3H15",,,,"false","interacts with","STAU1 (interacts with) ZC3H15","17880","O95793","Q8WU90",
"1814",,,,,"interacts with","STAU1 (interacts with) RAN",,,,"false","interacts with","STAU1 (interacts with) RAN","9928","O95793","P62826",
"1815",,,,,"interacts with","ANK2 (interacts with) SIGMAR1",,,,"false","interacts with","ANK2 (interacts with) SIGMAR1","134130","Q01484","Q99720",
"1816",,,,,"interacts with","DDB1 (interacts with) TAF15",,,,"false","interacts with","DDB1 (interacts with) TAF15","3435","Q16531","Q92804",
"1817",,,,,"interacts with","PSEN1 (interacts with) NOTCH3",,,,"false","interacts with","PSEN1 (interacts with) NOTCH3","117511","P49768","Q9UM47",
"1818",,,,,"interacts with","SCN1A (interacts with) PSEN1",,,,"false","interacts with","SCN1A (interacts with) PSEN1","2745","P35498","P49768",
